,Rank_MOJO_by_Box_office,Title,Lifetime Gross_MOJO,Max Theaters,Opening Box,Opening Th,Release Date,Distributor,User Rating_IMDB,Metacritic,Number of Votes_IMDB,Running Time,Release Date_IMDB,Director
471,797,Anthropocene: The Human Epoch,"$104,806",110,"$16,038",7,"Sep 25, 2019",Kino Lorber,7.2,77.0,"1,332",1h 27min,25 September 2019 (USA),Jennifer Baichwal
472,799,Stevie,"$103,401",13,"$9,383",4,"Mar 28, 2003",Lionsgate,7.8,72.0,"2,457",2h 20min,13 March 2003 (Netherlands),Steve James
473,802,Filmworker,"$102,609",17,"$7,984",1,"May 11, 2018",Kino Lorber,7.4,73.0,"2,614",1h 34min,11 May 2018 (Canada),Tony Zierra
474,803,Afghan Star,"$102,115",5,"$3,671",1,"Jun 26, 2009",Zeitgeist Films,7.3,78.0,943,1h 27min,16 January 2009 (USA),Havana Marking
475,804,Cameraperson,"$102,033",7,"$12,760",1,"Sep 9, 2016",Janus Films,7.4,86.0,"2,302",1h 42min,27 January 2017 (UK),Kirsten Johnson
476,805,Tower,"$101,987",13,-,-,"Sep 28, 2016",Kino Lorber,7.9,92.0,"7,195",1h 22min,3 February 2017 (UK),Keith Maitland
477,806,A Lego Brickumentary,"$101,531",93,"$43,285",93,"Jul 31, 2015",RADiUS-TWC,6.8,,"1,856",1h 33min,31 July 2015 (USA),Kief Davidson
478,807,Score,"$101,382",8,"$8,088",1,"Jun 16, 2017",Gravitas Ventures,7.5,67.0,"3,819",1h 33min,5 September 2017 (USA),Matt Schrader
479,808,Korengal,"$101,310",11,"$14,630",1,"May 30, 2014",Saboteur Media,6.8,67.0,"3,646",1h 24min,30 November 2015 (Japan),Sebastian Junger
480,809,Freakonomics,"$101,270",20,"$31,893",20,"Oct 1, 2010",Magnolia Pictures,6.4,,"6,657",1h 25min,3 September 2010 (USA),Heidi Ewing
481,814,8: The Mormon Proposition,"$100,280",16,"$42,566",16,"Jun 18, 2010",-,7.0,,"1,198",1h 20min,24 January 2010 (USA),Reed Cowan
482,817,No Impact Man: The Documentary,"$100,028",8,"$15,215",2,"Sep 11, 2009",Oscilloscope,6.7,66.0,"1,492",1h 33min,17 June 2010 (South Korea),Laura Gabbert
483,820,Under Our Skin,"$98,548",6,"$7,043",1,"Jun 19, 2009",Shadow Distribution,7.9,63.0,955,1h 44min,19 June 2009 (USA),Andrew Abrahams
484,822,Aileen: Life and Death of a Serial Killer,"$97,362",6,"$16,158",3,"Jan 9, 2004",Lantern Lane Entertainment,7.1,71.0,"6,272",1h 33min,21 November 2003 (UK),Nick Broomfield
485,824,Paragraph 175,"$96,630",2,"$25,007",2,"Sep 13, 2000",New Yorker Films,7.7,85.0,"1,832",1h 21min,7 February 2002 (Germany),Rob Epstein
486,827,Biggie and Tupac,"$94,874",6,"$5,728",1,"Sep 20, 2002",Roxie Releasing,6.8,63.0,"4,536",1h 48min,24 May 2002 (UK),Nick Broomfield
487,829,Celsius 41.11: The Temperature at Which the Brain... Begins to Die,"$93,000",116,"$93,000",116,"Oct 22, 2004",Citizens United,4.3,,"1,373",1h 12min,22 October 2004 (USA),Kevin Knoblock
488,831,American: The Bill Hicks Story,"$92,234",11,"$5,872",1,"Apr 8, 2011",Variance Films,7.8,,"4,740",1h 42min,8 April 2011 (USA),Matt Harlock
489,832,The Brandon Teena Story,"$92,113",2,"$11,281",1,"Sep 23, 1998",Zeitgeist Films,7.2,,965,1h 29min,23 September 1998 (USA),Susan Muska
490,843,Stranded: I've Come from a Plane That Crashed on the Mountains,"$89,473",7,"$3,077",1,"Oct 22, 2008",Zeitgeist Films,8.1,82.0,"1,202",2h 10min,22 October 2008 (USA),Gonzalo Arijon
491,846,Sunshine Superman,"$88,097",21,"$8,991",3,"May 22, 2015",Magnolia Pictures,6.9,70.0,"1,268",1h 40min,22 May 2015 (USA),Marah Strauch
492,849,Advanced Style,"$87,879",12,"$6,500",1,"Sep 26, 2014",Bond/360,7.3,66.0,934,1h 12min,9 May 2014 (UK),Lina Plioplyte
493,851,Exporting Raymond,"$87,727",13,"$35,292",13,"Apr 29, 2011",The Samuel Goldwyn Company,6.9,,"1,716",1h 26min,21 October 2010 (USA),Phil Rosenthal
494,852,America: Freedom to Fascism,"$87,400",10,"$61,200",10,"Jul 28, 2006",Cinema Libre Studio,8.0,,"2,425",1h 35min,28 July 2006 (USA),Aaron Russo
495,855,Kurt Cobain About a Son,"$87,016",6,"$10,749",2,"Oct 3, 2007",Balcony Releasing,7.4,69.0,"3,535",1h 36min,3 October 2007 (USA),AJ Schnack
496,856,Marina Abramovic: The Artist Is Present,"$86,637",5,"$11,041",2,"Jun 13, 2012",Music Box Films,7.9,74.0,"5,738",1h 46min,5 July 2012 (Russia),Matthew Akers
497,859,Author: The JT LeRoy Story,"$85,999",27,"$23,413",5,"Sep 9, 2016",Magnolia Pictures,7.1,72.0,"1,056",1h 50min,29 July 2016 (UK),Jeff Feuerzeig
498,861,Tab Hunter Confidential,"$85,812",9,"$9,945",2,"Oct 16, 2015",The Film Collaborative,7.7,,"2,925",1h 30min,16 October 2015 (USA),Jeffrey Schwarz
499,865,Visitors,"$84,577",13,"$9,094",1,"Jan 24, 2014",Cinedigm Entertainment Group,6.1,62.0,988,1h 27min,4 April 2014 (Ireland),Godfrey Reggio
500,870,12 O'Clock Boys,"$82,614",21,"$44,108",21,"Jan 31, 2014",Oscilloscope,6.4,68.0,"1,307",1h 16min,31 January 2014 (USA),Lotfy Nathan
501,875,I Am Divine,"$81,497",10,-,-,"Oct 11, 2013",The Film Collaborative,7.6,70.0,"2,374",1h 30min,1 April 2014 (USA),Jeffrey Schwarz
502,877,Earth: One Amazing Day,"$81,345",70,"$45,480",70,"Oct 6, 2017",BBC Worldwide North America,7.8,,"2,481",1h 35min,6 October 2017 (USA),Richard Dale
503,878,The Future of Food,"$81,280",5,"$8,721",2,"Sep 14, 2005",Cinema Libre Studio,7.8,65.0,"1,378",1h 28min,30 May 2004 (USA),Deborah Koons
504,879,Waking Sleeping Beauty,"$80,741",5,"$33,115",5,"Mar 26, 2010",Walt Disney Studios Motion Pictures,7.6,70.0,"2,567",1h 26min,6 October 2010 (France),Don Hahn
505,881,For the Love of Spock,"$80,141",38,-,-,"Sep 9, 2016",Gravitas Ventures,7.6,74.0,"3,742",1h 51min,9 September 2016 (USA),Adam Nimoy
506,882,Searching for the Wrong-Eyed Jesus,"$79,916",6,"$4,095",1,"Jul 13, 2005",Shadow Distribution,7.7,,"1,077",1h 22min,5 May 2004 (USA),Andrew Douglas
507,883,More Than Honey,"$79,772",7,"$5,225",1,"Jun 12, 2013",Kino Lorber,7.6,70.0,"3,963",1h 35min,8 November 2012 (Germany),Markus Imhoof
508,893,The Island President,"$76,398",5,"$13,998",2,"Mar 28, 2012",The Samuel Goldwyn Company,7.2,72.0,"1,157",1h 41min,30 March 2012 (UK),Jon Shenk
509,894,Leviathan,"$76,202",5,"$10,000",1,"Mar 1, 2013",The Cinema Guild,6.6,81.0,"3,287",1h 27min,28 August 2013 (France),Lucien Castaing-Taylor
510,898,Whitey: United States of America v. James J. Bulger,"$75,881",9,"$14,287",3,"Jun 27, 2014",Magnolia Pictures,6.8,71.0,"2,818",1h 47min,27 June 2014 (USA),Joe Berlinger
511,899,Bill Nye: Science Guy,"$74,909",9,"$7,005",1,"Oct 27, 2017",PBS Distribution,6.1,73.0,987,1h 41min,12 March 2017 (USA),David Alvarado
512,900,Batkid Begins: The Wish Heard Around the World,"$74,709",14,"$19,437",4,"Jun 26, 2015",Warner Bros.,6.8,63.0,"1,561",1h 27min,26 June 2015 (USA),Dana Nachman
513,901,The Nomi Song,"$74,631",3,"$14,510",2,"Feb 4, 2005",Palm Pictures,7.3,71.0,"1,016",1h 38min,24 March 2005 (Germany),Andrew Horn
514,908,Do Not Resist,"$72,791",8,"$7,150",1,"Sep 30, 2016",Vanish Films,7.0,69.0,"1,075",1h 12min,23 February 2017 (Germany),Craig Atkinson
515,909,After Tiller,"$72,125",6,"$15,500",2,"Sep 20, 2013",Oscilloscope,7.4,75.0,"1,010",1h 25min,10 January 2014 (UK),Martha Shane
516,912,The Invisible War,"$71,968",19,"$16,500",4,"Jun 22, 2012",Cinedigm Entertainment Group,7.6,75.0,"6,541",1h 33min,20 January 2012 (USA),Kirby Dick
517,913,Dancer,"$71,917",10,"$7,140",1,"Sep 9, 2016",IFC Films,7.9,65.0,"2,596",1h 25min,10 March 2017 (UK),Steven Cantor
518,914,Raiders!: The Story of the Greatest Fan Film Ever Made,"$71,916",27,"$26,059",24,"Jun 17, 2016",Drafthouse Films,6.9,70.0,"2,018",1h 46min,17 June 2016 (USA),Jeremy Coon
519,917,Air Guitar Nation,"$71,471",10,"$7,035",1,"Mar 23, 2007",Shadow Distribution,7.1,72.0,"1,279",1h 21min,6 October 2007 (Japan),Alexandra Lipsitz
520,920,Crossing the Bridge: The Sound of Istanbul,"$70,685",3,"$9,161",1,"Jun 9, 2006",Strand Releasing,7.9,73.0,"6,012",1h 30min,27 May 2005 (Turkey),Fatih Akin
521,921,Crips and Bloods: Made in America,"$70,219",4,"$10,537",1,"Jan 23, 2009",Argot Pictures,6.9,,"2,650",1h 33min,20 January 2008 (USA),Stacy Peralta
522,922,The Business of Being Born,"$69,991",3,"$9,574",1,"Jan 9, 2008",International Film Circuit,7.4,68.0,"1,300",1h 27min,9 January 2008 (USA),Abby Epstein
523,924,Zoo,"$69,770",5,"$7,811",1,"Apr 25, 2007",THINKFilm,5.6,63.0,"2,686",1h 15min,30 May 2008 (UK),Robinson Devor
524,932,Shake Hands with the Devil: The Journey of Roméo Dallaire,"$68,249",4,"$1,848",1,"May 13, 2005",California Newsreel,8.1,80.0,"1,012",1h 30min,January 2005 (USA),Peter Raymont
525,933,Maidentrip,"$68,243",9,"$1,622",1,"Dec 20, 2013",First Run,7.5,70.0,"3,656",1h 22min,March 2013 (USA),Jillian Schlesinger
526,934,The Silence of Others,"$67,986",6,"$7,868",1,"May 8, 2019",Argot Pictures,8.0,73.0,"1,426",1h 36min,8 May 2019 (USA),Robert Bahar
527,935,The Pervert's Guide to Ideology,"$67,966",4,"$9,165",1,"Nov 1, 2013",Zeitgeist Films,7.6,71.0,"6,136",2h 16min,1 November 2013 (USA),Sophie Fiennes
528,936,I Am Big Bird: The Caroll Spinney Story,"$67,845",17,"$10,000",1,"May 6, 2015",Tribeca Film,7.5,71.0,"1,407",1h 26min,6 May 2015 (USA),Dave LaMattina
529,938,Happy Valley,"$67,665",7,"$27,122",7,"Mar 28, 2008",Stone Five Studios,7.1,76.0,"1,116",1h 38min,21 November 2014 (USA),Amir Bar-Lev
530,"1,355",Happy Valley,"$23,868",4,"$9,047",4,"Nov 21, 2014",Music Box Films,7.1,76.0,"1,116",1h 38min,21 November 2014 (USA),Amir Bar-Lev
531,941,For No Good Reason,"$67,421",21,"$4,516",2,"Apr 25, 2014",Sony Pictures Classics,7.0,,"1,385",1h 29min,8 March 2014 (Japan),Charlie Paul
532,945,Pandora's Promise,"$66,680",16,"$23,419",16,"Jun 12, 2013",Abramorama,7.4,,"1,816",1h 27min,15 November 2013 (UK),Robert Stone
533,958,Let the Fire Burn,"$64,489",9,"$5,226",1,"Oct 2, 2013",Zeitgeist Films,7.8,86.0,"1,261",1h 28min,2 October 2013 (USA),Jason Osder
534,959,Rock School,"$64,310",32,"$28,136",32,"Jun 3, 2005",Picturehouse,6.4,67.0,"1,000",1h 33min,7 July 2005 (Australia),Don Argott
535,964,Drunk Stoned Brilliant Dead,"$62,660",22,"$5,254",1,"Sep 25, 2015",Magnolia Pictures,7.2,74.0,"2,065",1h 38min,25 September 2015 (USA),Douglas Tirola
536,967,The Cave,"$62,625",10,"$21,185",2,"Oct 18, 2019",National Geographic Entertainment,7.5,83.0,"2,176",1h 47min,18 October 2019 (USA),Feras Fayyad
537,968,Tomorrow,"$62,510",20,"$1,480",1,"Mar 10, 2017",Under The Milky Way,8.0,71.0,"3,136",1h 58min,14 April 2017 (USA),Cyril Dion
538,970,Mifune: The Last Samurai,"$62,279",9,"$4,296",1,"Nov 25, 2016",Strand Releasing,7.2,64.0,933,1h 20min,25 November 2016 (USA),Steven Okazaki
539,972,Public Speaking,"$62,173",2,"$6,260",1,"Feb 23, 2011",Rialto Pictures,7.6,,"1,572",1h 24min,22 November 2010 (USA),Martin Scorsese
540,973,Dark Star: HR Gigers Welt,"$61,845",10,"$8,349",5,"May 15, 2015",Icarus Films,7.0,62.0,"1,027",1h 35min,18 August 2015 (USA),Belinda Sallin
541,974,If a Tree Falls: A Story of the Earth Liberation Front,"$61,794",5,"$5,634",2,"Jun 22, 2011",Oscilloscope,7.2,65.0,"3,053",1h 25min,January 2011 (USA),Marshall Curry
542,975,War Photographer,"$61,040",1,"$9,327",1,"Jun 19, 2002",First Run,8.0,79.0,"3,938",1h 36min,2001 (USA),Christian Frei
543,990,Roman Polanski: Wanted and Desired,"$59,192",9,"$4,613",1,"Jul 11, 2008",THINKFilm,7.2,78.0,"4,799",1h 39min,11 December 2008 (Greece),Marina Zenovich
544,991,The Trials of Muhammad Ali,"$59,081",10,"$2,980",1,"Aug 23, 2013",Kino Lorber,7.3,74.0,"1,048",1h 26min,5 May 2013 (USA),Bill Siegel
545,993,Maxed Out,"$58,829",6,"$20,024",6,"Mar 9, 2007",Magnolia Pictures,7.2,65.0,"2,139",1h 30min,10 March 2006 (USA),James D. Scurlock
546,994,Side by Side,"$58,825",9,"$6,956",1,"Aug 17, 2012",Tribeca Film,7.6,82.0,"12,946",1h 39min,22 August 2012 (USA),Christopher Kenneally
547,"1,004",Beautiful Losers,"$56,386",3,"$10,607",1,"Aug 8, 2008",Sidetrack Films,7.1,,"1,310",1h 30min,2 August 2008 (Japan),Aaron Rose
548,"1,008",Terms and Conditions May Apply,"$55,824",6,"$4,446",1,"Jul 12, 2013",Variance Films,7.3,68.0,"5,863",1h 19min,12 July 2013 (USA),Cullen Hoback
549,"1,011",The Lovers & the Despot,"$55,511",13,"$14,925",8,"Sep 23, 2016",Magnolia Pictures,6.5,65.0,912,1h 38min,23 September 2016 (USA),Ross Adam
550,"1,023",The Search for General Tso,"$54,275",13,"$9,336",2,"Jan 2, 2015",IFC Films,6.9,72.0,"1,643",1h 11min,2 January 2015 (USA),Ian Cheney
551,"1,024",Surviving Progress,"$53,953",6,"$4,161",2,"Apr 6, 2012",First Run,7.4,,"1,758",1h 26min,23 March 2013 (Japan),Mathieu Roy
552,"1,026",The Other F Word,"$53,714",6,"$15,792",2,"Nov 4, 2011",Oscilloscope,7.3,,"1,880",1h 38min,6 December 2012 (Germany),Andrea Blaugrund Nevins
553,"1,029",Making Waves: The Art of Cinematic Sound,"$53,144",11,"$12,348",3,"Oct 25, 2019",Matson Films,7.6,80.0,"1,015",1h 34min,25 October 2019 (USA),Midge Costin
554,"1,032",To Be Takei,"$52,823",22,"$22,846",22,"Aug 22, 2014",Starz Digital Media,6.8,66.0,"1,458",1h 34min,22 August 2014 (USA),Jennifer M. Kroot
555,"1,036",The Last Man on the Moon,"$52,482",14,"$30,880",13,"Feb 26, 2016",Gravitas Ventures,7.4,78.0,"3,251",1h 35min,26 February 2016 (USA),Mark Craig
556,"1,037",Cropsey,"$52,476",4,"$6,306",1,"Jun 4, 2010",Cinema Purgatorio,6.3,73.0,"7,574",1h 24min,25 April 2009 (USA),Barbara Brancaccio
557,"1,041",The Human Experience,"$52,296",5,"$27,170",5,"Apr 9, 2010",Grassroots Films,7.1,,914,1h 30min,12 June 2008 (USA),Charles Francis Kinnane
558,"1,044",The Missing Picture,"$52,164",9,"$10,148",5,"Mar 19, 2014",Strand Releasing,7.4,87.0,"3,032",1h 32min,19 March 2014 (USA),Rithy Panh
559,"1,045",Screamers,"$52,034",4,"$23,609",4,"Dec 8, 2006",Maya Entertainment,6.0,,"1,451",1h 31min,19 July 2007 (Lebanon),Carla Garapedian
560,"1,047",QT8: The First Eight,"$51,896",459,-,-,"Oct 21, 2019",Fathom Events,7.3,,"2,320",1h 43min,21 October 2019 (USA),Tara Wood
561,"1,050",Tickling Giants,"$51,499",17,"$8,159",1,"Mar 17, 2017",-,8.3,78.0,"1,545",1h 51min,10 April 2017 (Egypt),Sara Taksler
562,"1,053",God Loves Uganda,"$51,229",5,"$7,300",1,"Oct 11, 2013",Variance Films,7.4,77.0,"1,156",1h 23min,11 October 2013 (USA),Roger Ross Williams
563,"1,069",The Internet's Own Boy: The Story of Aaron Swartz,"$48,911",12,"$21,705",12,"Jun 27, 2014",-,8.0,72.0,"15,414",1h 45min,27 June 2014 (USA),Brian Knappenberger
564,"1,070",The Seven Five,"$48,869",5,"$14,785",2,"May 8, 2015",IFC Films,7.6,69.0,"5,267",1h 44min,8 May 2015 (USA),Tiller Russell
565,"1,071",Ghosts of Cité Soleil,"$48,752",3,"$7,100",1,"Jun 27, 2007",THINKFilm,7.1,64.0,"1,727",1h 25min,3 May 2007 (Denmark),Asger Leth
566,"1,075",The China Hustle,"$48,650",20,"$25,791",20,"Mar 30, 2018",Magnolia Pictures,7.2,67.0,"2,505",1h 22min,23 March 2018 (USA),Jed Rothstein
567,"1,077",Saving Banksy,"$47,965",6,"$1,317",1,"Jan 13, 2017",Parade Deck Films,6.8,73.0,"1,012",1h 20min,13 January 2017 (USA),Colin M. Day
568,"1,080",Terror's Advocate,"$47,724",4,"$11,197",3,"Oct 12, 2007",Magnolia Pictures,7.2,75.0,"1,476",2h 15min,6 June 2007 (France),Barbet Schroeder
569,"1,082",GMO OMG,"$47,558",9,"$15,100",1,"Sep 13, 2013",Submarine Deluxe,6.5,,"1,415",1h 30min,13 September 2013 (USA),Jeremy Seifert
570,"1,086",The Goebbels Experiment,"$47,211",2,"$6,769",1,"Aug 12, 2005",First Run,7.3,67.0,942,1h 48min,13 April 2005 (Germany),Lutz Hachmeister
571,"1,087",Collapse,"$46,964",5,"$7,800",1,"Nov 6, 2009",Vitagraph Films,7.7,71.0,"6,623",1h 22min,17 March 2011 (Denmark),Chris Smith
572,"1,093",William S. Burroughs: A Man Within,"$46,380",4,"$6,510",1,"Nov 17, 2010",Oscilloscope,7.2,63.0,"1,039",1h 27min,12 December 2010 (Chile),Yony Leyser
573,"1,118",For Sama,"$43,796",4,"$9,350",3,"Jul 26, 2019",PBS Distribution,8.5,89.0,"7,763",1h 40min,26 July 2019 (USA),Waad Al-Kateab
574,"1,120",A Grin Without A Cat,"$43,616",1,"$8,449",1,"May 1, 2002",Icarus Films,8.0,81.0,914,4h,23 November 1977 (France),Chris Marker
575,"1,125",Next Goal Wins,"$43,089",10,"$2,568",5,"Apr 25, 2014",Ketchup Entertainment,7.9,71.0,"2,338",1h 37min,9 May 2014 (UK),Mike Brett
576,"1,129",Midnight Family,"$42,310",13,"$3,030",1,"Dec 6, 2019",1091 Media,7.4,81.0,"1,109",1h 21min,6 March 2020 (Mexico),Luke Lorentzen
577,"1,131",The Pearl Button,"$42,166",5,-,-,"Oct 23, 2015",Kino Lorber,7.6,80.0,"2,284",1h 22min,15 October 2015 (Chile),Patricio Guzmán
578,"1,134",We Live in Public,"$41,711",2,"$7,325",1,"Aug 28, 2009",Abramorama,7.2,69.0,"1,804",1h 31min,3 September 2010 (Norway),Ondi Timoner
579,"1,136",A State of Mind,"$41,468",5,"$5,515",1,"Aug 10, 2005",Kino International,7.7,63.0,"1,002",1h 33min,2004 (UK),Daniel Gordon
580,"1,138",Nowitzki: The Perfect Shot,"$41,340",4,"$20,049",4,"Jul 10, 2015",Magnolia Pictures,7.6,,"1,887",1h 45min,September 2014 (Germany),Sebastian Dehnhardt
581,"1,147",Hell and Back Again,"$40,634",4,"$3,413",1,"Oct 5, 2011",-,6.5,81.0,"2,190",1h 28min,5 October 2011 (USA),Danfung Dennis
582,"1,150",My Flesh and Blood,"$40,573",7,"$18,763",7,"Nov 28, 2003",Strand Releasing,8.2,78.0,"1,693",1h 23min,17 January 2003 (USA),Jonathan Karsh
583,"1,155",What Our Fathers Did: A Nazi Legacy,"$40,119",14,"$8,132",2,"Nov 6, 2015",Oscilloscope,7.0,69.0,"1,083",1h 36min,April 2015 (USA),David Evans
584,"1,157",Unrest,"$40,081",8,"$10,607",1,"Sep 22, 2017",-,7.7,80.0,"2,429",1h 38min,22 September 2017 (USA),Jennifer Brea
585,"1,160",The Short Game,"$39,819",20,"$28,434",17,"Sep 20, 2013",The Samuel Goldwyn Company,7.4,,"1,329",1h 39min,20 September 2013 (USA),Josh Greenbaum
586,"1,165",Prophet's Prey,"$39,347",9,"$5,000",1,"Sep 18, 2015",-,7.3,77.0,"1,425",1h 30min,18 September 2015 (USA),Amy Berg
587,"1,167",How to Make Money Selling Drugs,"$39,192",5,"$9,202",5,"Jun 26, 2013",Tribeca Film,7.6,69.0,"6,597",1h 36min,26 December 2013 (UK),Matthew Cooke
588,"1,187",78/52: Hitchcock's Shower Scene,"$37,664",22,"$3,738",1,"Oct 13, 2017",IFC Films,7.3,74.0,"3,030",1h 31min,13 October 2017 (USA),Alexandre O. Philippe
589,"1,191",Grey Gardens,"$36,923",1,"$13,845",1,"Mar 6, 2015",Janus Films,7.6,82.0,"11,941",1h 35min,27 September 1975 (USA),Ellen Hovde
590,"1,197",Mansome,"$36,280",20,"$18,395",20,"May 18, 2012",Paladin,5.4,,"2,813",1h 22min,24 November 2012 (Spain),Morgan Spurlock
591,"1,198",Welcome to Leith,"$36,010",5,"$3,707",1,"Sep 9, 2015",First Run,7.0,78.0,"3,834",1h 25min,15 December 2015 (USA),Michael Beach Nichols
592,"1,202",The Year of the Yao,"$35,591",12,"$27,823",12,"Apr 15, 2005",Fine Line Features,7.3,62.0,"1,087",1h 28min,2 June 2005 (Singapore),Adam Del Deo
593,"1,203",Finders Keepers,"$35,555",32,"$5,740",5,"Sep 25, 2015",The Orchard,6.8,80.0,"2,400",1h 22min,25 September 2015 (USA),Bryan Carberry
594,"1,208",A Decade Under the Influence,"$34,837",3,"$2,320",1,"Apr 25, 2003",IFC Films,7.6,67.0,"2,497",2h 18min,19 January 2003 (USA),Ted Demme
595,"1,210",Comic-Con Episode IV: A Fan's Hope,"$34,665",6,"$8,203",3,"Apr 6, 2012",-,7.0,64.0,"2,710",1h 28min,23 November 2012 (Poland),Morgan Spurlock
596,"1,217",The Autobiography of Nicolae Ceausescu,"$34,023",3,"$4,644",1,"Sep 9, 2011",The Film Desk,7.7,87.0,"1,347",3h,9 September 2011 (USA),Andrei Ujica
597,"1,232",Of Time and the City,"$32,677",2,"$5,595",1,"Jan 21, 2009",Strand Releasing,7.3,81.0,"1,896",1h 14min,31 October 2008 (UK),Terence Davies
598,"1,238",Living in Emergency,"$32,208",7,"$21,905",7,"Jun 4, 2010",Truly Indie,8.0,76.0,"1,025",2h,14 December 2009 (USA),Mark N. Hopkins
599,"1,245",180° South,"$31,745",4,"$10,269",4,"May 21, 2010",Magnolia Pictures,7.6,,"2,867",1h 25min,22 January 2011 (Japan),Chris Malloy
600,"1,250",Whores' Glory,"$31,420",3,"$5,358",3,"Apr 27, 2012",Kino Lorber,7.2,73.0,"4,613",1h 50min,27 April 2012 (USA),Michael Glawogger
601,"1,252",Memory: The Origins of Alien,"$31,378",19,"$14,704",19,"Oct 4, 2019",Screen Media Films,6.7,70.0,"1,976",1h 35min,4 October 2019 (USA),Alexandre O. Philippe
602,"1,256",Who Is Harry Nilsson (And Why Is Everybody Talkin' About Him?),"$30,975",3,"$6,078",1,"Sep 10, 2010",Lorber Films,7.6,68.0,"1,420",1h 56min,4 February 2006 (USA),John Scheinfeld
603,"1,257",Patti Smith: Dream of Life,"$30,918",1,"$9,993",1,"Aug 6, 2008",Palm Pictures,7.1,66.0,959,1h 49min,2 April 2008 (France),Steven Sebring
604,"1,258",GasLand,"$30,846",2,"$2,641",1,"Sep 15, 2010",-,7.7,,"10,156",1h 47min,17 January 2011 (UK),Josh Fox
605,"1,263",Dealt,"$30,414",10,"$4,293",1,"Oct 20, 2017",IFC Films,7.6,66.0,"1,576",1h 25min,20 October 2017 (USA),Luke Korem
606,"1,265","3 1/2 Minutes, 10 Bullets","$30,407",8,"$2,238",1,"Jun 19, 2015",Participant,7.2,76.0,"1,699",1h 38min,2 October 2015 (UK),Marc Silver
607,"1,266",The Take,"$30,380",1,"$8,625",1,"Sep 22, 2004",Icarus Films,7.7,66.0,"1,144",1h 27min,18 March 2005 (Italy),Avi Lewis
608,"1,289",You've Been Trumped,"$29,273",5,"$4,497",1,"Aug 3, 2012",International Film Circuit,7.5,,"2,150",1h 19min,6 July 2012 (UK),Anthony Baxter
609,"1,295",Hitler's Children,"$28,663",3,"$2,939",1,"Nov 16, 2012",Film Movement,7.4,69.0,"1,156",59min,November 2011 (Netherlands),Chanoch Ze'evi
610,"1,302",The Nightmare,"$28,281",16,"$13,363",16,"Jun 5, 2015",Gravitas Ventures,5.8,68.0,"6,377",1h 31min,5 June 2015 (USA),Rodney Ascher
611,"1,304",The Ambassador,"$28,102",8,"$13,046",4,"Aug 29, 2012",Drafthouse Films,7.3,67.0,"3,833",1h 37min,5 October 2011 (Denmark),Mads Brügger
612,"1,332",Elena,"$25,788",2,"$10,341",1,"May 30, 2014",Variance Films,7.6,81.0,"1,653",1h 20min,September 2012 (Brazil),Petra Costa
613,"1,335",Kate Plays Christine,"$25,564",3,"$6,175",1,"Aug 26, 2016",Grasshopper Film,6.2,75.0,924,1h 52min,14 October 2016 (UK),Robert Greene
614,"1,337",Lake of Fire,"$25,317",9,"$2,559",1,"Oct 3, 2007",THINKFilm,8.2,83.0,"2,447",2h 32min,3 October 2007 (USA),Tony Kaye
615,"1,352",Shut Up Little Man! An Audio Misadventure,"$23,901",8,-,-,"Aug 26, 2011",Tribeca Film,6.6,,"1,174",1h 30min,25 August 2011 (USA),Matthew Bate
616,"1,353",Dear Mr. Watterson,"$23,899",9,"$6,199",5,"Nov 15, 2013",Submarine Deluxe,6.4,,"1,768",1h 29min,18 May 2014 (Netherlands),Joel Allen Schroeder
617,"1,357",Videocracy,"$23,720",1,"$8,324",1,"Feb 12, 2010",Kino International,6.5,,"1,800",1h 25min,28 August 2009 (Sweden),Erik Gandini
618,"1,368",Video Games: The Movie,"$23,043",25,"$12,759",25,"Jul 18, 2014",Variance Films,6.1,,"5,322",1h 41min,18 July 2014 (USA),Jeremy Snead
619,"1,370",My Scientology Movie,"$22,936",6,"$11,180",2,"Mar 10, 2017",Magnolia Pictures,6.7,62.0,"11,831",1h 39min,10 March 2017 (USA),John Dower
620,"1,377",Be Here Now,"$22,424",11,"$13,577",11,"Apr 8, 2016",Tugg,8.6,,"3,172",1h 40min,28 February 2017 (UK),Lilibet Foster
621,"1,378",Fuck,"$22,359",5,"$5,299",2,"Nov 10, 2006",THINKFilm,7.0,,"4,164",1h 33min,10 November 2007 (Japan),Steve Anderson
622,"1,379",The Atomic Cafe,"$22,293",5,"$4,098",1,"Aug 1, 2018",Kino Lorber,7.6,,"3,868",1h 26min,29 October 1982 (Finland),Jayne Loader
623,"1,382",And Everything Is Going Fine,"$22,080",2,"$7,035",1,"Dec 10, 2010",IFC Films,7.1,76.0,"1,081",1h 29min,January 2010 (USA),Steven Soderbergh
624,"1,389",The Arbor,"$21,620",3,"$2,638",1,"Apr 27, 2011",Strand Releasing,7.3,88.0,"1,770",1h 34min,25 April 2010 (USA),Clio Barnard
625,"1,398",Resurrect Dead: The Mystery of the Toynbee Tiles,"$21,242",1,"$3,054",1,"Sep 2, 2011",Argot Pictures,7.3,,"2,073",1h 26min,1 August 2011 (USA),Jon Foy
626,"1,399",Girl Model,"$21,154",5,"$4,898",1,"Sep 5, 2012",First Run,6.5,68.0,"2,153",1h 18min,10 February 2012 (Ireland),David Redmon
